"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","1uF","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm",""
"2","C2","1","4.7uF","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm",""
"3","C3, C4, C5, C6, C7","5","0.1uF","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm",""
"4","D1, D2, D3, D4, D5, D6, D7, D8, D9","9","LED","LED_THT:LED_D5.0mm",""
"5","H1, H2, H3, H4","4","MountingHole","MountingHole:MountingHole_4.3mm_M4_Pad_Via",""
"6","J1","1","~","Personal Library:Keystone_2479",""
"7","R1","1","100 Ohms","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"8","R2","1","220K","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"9","R3","1","10K","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"10","R4, R6","2","1K","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"11","R7, R8, R9, R10, R11, R12, R13, R14","8","220 Ohms","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"12","S1","1","1825255-1","SW_1825255-1",""
"13","TP1, TP3","2","TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"14","TP2, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17","14","TestPoint","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm_LowProfile",""
"15","U1","1","MCP1827S-3302E/AB","Personal Library:MCP1827S-3302E",""
"16","U2","1","~","Package_DIP:DIP-8_W10.16mm",""
"17","U3","1","SN74HC393N","Personal Library:SN74HC393N",""
"18","U4","1","CD74HC138E","Personal Library:CD74HC138E",""
